Instrumento;Unidade Gestora;Aditivo;Tipo de Instrumento;CNPJ;Instituição;Órgão Responsável;Vinculação;Nº Modalidade;Nº Processo;Objeto;Data de Assinatura;Vigência;Valor Concedente;Valor Convenente;Valor Total;
 013/2025;Prefeitura Municipal de Macaé;Instrumento Original;Convênio;27.532.498/0001-90;Tribunal de Contas do Município do Rio de Janeiro ? TCE/RJ.;SECRETARIA MUNICIPAL DE GESTÃO DE PESSOAS;Não se Aplica;; 13286/2025;Constitui objeto deste convênio o disciplinamento das rotinas administrativas relacionadas à cessão recíproca de servidores efetivos, e como ocorrerá o ressarcimento dos valores referente ao pagamento da remuneração, incluindo, neste quantum, os encargos estatutários e previdenciários previstos legalmente relativos ao servidor cedido.;2025-12-09;09 de dezembro de 2025 a 31 de dezembro de 2028;R$ 0,00;R$ 0,00;R$ 0,00;
 012/2025;Prefeitura Municipal de Macaé;Instrumento Original;Convênio;28.521.748/0001-59;Município de Niterói;SECRETARIA MUNICIPAL DE GESTÃO PÚBLICA;Não se Aplica;; 7951/2025;Constitui objeto deste convênio o disciplinamento das rotinas administrativas relacionadas à cessão recíproca de servidores efetivos, e como ocorrerá o ressarcimento dos valores referentes ao pagamento da remuneração, incluindo, neste quantum, os encargos estatutários e previdenciários previstos legalmente relativos ao servidor cedido.;2025-08-06;31 de dezembro de 2028;R$ 0,00;R$ 0,00;R$ 0,00;
 011/2025;Prefeitura Municipal de Macaé;Instrumento Original;Convênio;06.222.709/0001-18;Secretaria de Estado de Esporte e Lazer;SECRETARIA MUNICIPAL DE GESTÃO DE PESSOAS;Não se Aplica;; 7.132/2025;Constitui objeto deste convênio o disciplinamento das rotinas administrativas relacionadas à cessão recíproca de servidores efetivos, e como ocorrerá o ressarcimento dos valores referente ao pagamento da remuneração, incluindo, neste quantum, os encargos estatutários e previdenciários previstos legalmente relativos ao servidor cedido.;2025-06-06;06 de junho de 2025 a 31 de dezembro de 2028;R$ 0,00;R$ 0,00;R$ 0,00;
 010/2025;Prefeitura Municipal de Macaé;Instrumento Original;Convênio;33.663.683/0039-99|72.060.999/0001-75;Universidade Federal do Rio de Janeiro ? UFRJ|Fundação Coordenação de Projetos, Pesquisas e Estudos Tecnológicos - COPPETEC;SECRETARIA MUNICIPAL DE GESTÃO DE PESSOAS;Não se Aplica;; 5.1734/2023;Estudo de Viabilidade Financeira e Orçamentária da Aplicação dos Planos de Cargos, Carreiras e Vencimentos (PCCV) do Município de Macaé, ora, CONCEDENTE, de acordo com a legislação pertinente e as melhores práticas nacionais e internacionais, através do Laboratório de Lógica Fuzzy (LABFUZZY) como unidade âncora de uma rede de laboratórios convocada para atendimento das demandas constantes das diretrizes do Município de Macaé/SEMARH, baseadas na aplicação de métodos e instrumentos do LABFUZZY existentes e de transferência de conhecimento e tecnologia.;2025-06-05;21 meses, a contar da data de sua assinatura;R$ 1.911.128,74;R$ 0,00;R$ 1.911.128,74;
 009/2025;Prefeitura Municipal de Macaé;Instrumento Original;Convênio;20.622.890/0001-80;Município de Governador Valadares;SECRETARIA MUNICIPAL DE GESTÃO DE PESSOAS;Não se Aplica;; 47.397/2024;Constitui objeto deste convênio o disciplinamento das rotinas administrativas relacionadas à cessão recíproca de servidores efetivos, e como ocorrerá o ressarcimento dos valores referentes ao pagamento da remuneração, incluindo, neste quantum, os encargos estatutários e previdenciários previstos legalmente relativos ao servidor cedido.;2025-05-28;28 de maio de 2025 a 31 de dezembro de 2028.;R$ 0,00;R$ 0,00;R$ 0,00;
 008/2025;Prefeitura Municipal de Macaé;Instrumento Original;Convênio;07.694.194/0001-11;Agência Reguladora de Energia e Saneamento Básico do Estado do Rio de Janeiro - AGENERSA.;SECRETARIA MUNICIPAL DE GESTÃO DE PESSOAS;Não se Aplica;; 11.648/2025;Constitui objeto deste convênio o disciplinamento das rotinas administrativas relacionadas à cessão recíproca de servidores efetivos, e como ocorrerá o ressarcimento dos valores referentes ao pagamento da remuneração, incluindo, neste quantum, os encargos estatutários e previdenciários previstos legalmente relativos ao servidor cedido.;2025-04-28;28 de abril de 2025 a 31 de dezembro de 2028;R$ 0,00;R$ 0,00;R$ 0,00;
 007/2025;Prefeitura Municipal de Macaé;Instrumento Original;Convênio;29.138.351/0001-45;Município de Magé;SECRETARIA MUNICIPAL DE GESTÃO DE PESSOAS;Não se Aplica;; 7.252/2025;Constitui objeto deste convênio o disciplinamento das rotinas administrativas relacionadas à cessão recíproca de servidores efetivos, e como ocorrerá o ressarcimento dos valores referentes ao pagamento da remuneração, incluindo, neste quantum, os encargos estatutários e previdenciários previstos legalmente relativos ao servidor cedido.;2025-04-10;10 de abril de 2025 a 31 de dezembro de 2028;R$ 0,00;R$ 0,00;R$ 0,00;
 006/2025;Prefeitura Municipal de Macaé;Instrumento Original;Convênio;28.561.041/0001-76;Município de Bom Jardim;SECRETARIA MUNICIPAL DE GESTÃO DE PESSOAS;Não se Aplica;; 1157/2025;Disciplinamento das rotinas administrativas relacionadas à cessão recíproca de servidores efetivos, e como ocorrerá o ressarcimento dos valores referentes ao pagamento da remuneração, incluindo, neste quantum, os encargos estatutários e previdenciários previstos legalmente relativos ao servidor cedido.;2025-04-25;25 de março de 2025 a 31 de dezembro de 2028;R$ 0,00;R$ 0,00;R$ 0,00;
 006/2025;Prefeitura Municipal de Macaé;Instrumento Original;Termo de Parceria;13.440.381/0001-71;C A MESQUITA CENTRO DE FORMAÇÃO PROFISSIONAL - MICROLINS.;SECRETARIA MUNICIPAL DE GESTÃO DE PESSOAS;Chamamento Público; 001/2025; 31033/2025;Concessão de descontos em serviços prestados, beneficiando os servidores da Prefeitura Municipal de Macaé e seus respectivos dependentes. Desconto de 20% sobre o valor dos cursos profissionalizantes nas áreas de Informática, Administração, Saúde, Idiomas e Tecnologia.;2025-11-11;05 (cinco) anos contado da data da sua assinatura.;R$ 0,00;R$ 0,00;R$ 0,00;
 005/2025;Prefeitura Municipal de Macaé;Instrumento Original;Convênio;28.741.080/0001-55;Município de Itaboraí;SECRETARIA MUNICIPAL DE GESTÃO DE PESSOAS;Não se Aplica;; 3765/2025;Disciplinamento das rotinas administrativas relacionadas à cessão recíproca de servidores efetivos, e como ocorrerá o ressarcimento dos valores referentes ao pagamento da remuneração, incluindo, neste quantum, os encargos estatutários e previdenciários previstos legalmente relativos ao servidor cedido.;2025-03-24;24 de março de 2025 a 31 de dezembro de 2028;R$ 0,00;R$ 0,00;R$ 0,00;
 005/2025;Prefeitura Municipal de Macaé;Instrumento Original;Termo de Parceria;45.739.196/0001-79;Duo Odontologia e Estética LTDA.;SECRETARIA MUNICIPAL DE GESTÃO DE PESSOAS;Chamamento Público; 001/2025; 20.951/2025;Concessão de descontos em serviços prestados, beneficiando os servidores da Prefeitura Municipal de Macaé e seus respectivos dependentes. Clínicas Médicas e Odontológicas (Consultas Médicas e Consultas odontológicas): 25% de desconto.  Clínicas Médicas e Odontológicas (Exames e Procedimentos): 20% de desconto.;2025-07-03;05 (cinco) anos contado da data da sua assinatura.;R$ 0,00;R$ 0,00;R$ 0,00;
 004/2025;Prefeitura Municipal de Macaé;Instrumento Original;Convênio;39.223.581/0001-66;Município de Rio das Ostras;SECRETARIA MUNICIPAL ADJUNTA DE RECURSOS HUMANOS;Não se Aplica;; 2.389/2025;Disciplinamento das rotinas administrativas relacionadas à cessão de servidores efetivos, e como ocorrerá o ressarcimento dos valores referente ao pagamento da remuneração, incluindo, neste quantum, os encargos estatutários e previdenciários previstos legalmente relativos ao servidor cedido.;2025-02-11;31 de dezembro de 2028;R$ 0,00;R$ 0,00;R$ 0,00;
 004/2025;Prefeitura Municipal de Macaé;Instrumento Original;Termo de Fomento;05.065.779/0001-47;Núcleo de Dança Portadores de Alegria ? NDPA;SECRETARIA MUNICIPAL DE DESENVOLVIMENTO SOCIAL, DIREITOS HUMANOS, ACESSIBILIDADE E ECONOMIA SOLIDÁRIA;Inexigibilidade; 004/2025; 44.924/2024;Promover a melhoria na qualidade de vida das pessoas com deficiência, assegurando um espaço de convívio social, bem como estimular as potencialidades e ampliar o universo em diversos segmentos dos assistidos com a finalidade de integrar a pessoa com deficiência à dança, à arte, à cultura, ao esporte e o social, rompendo as barreiras da discriminação e fazendo das suas atividades instrumentos de descoberta do próprio.;2025-04-10;12 (doze) meses;R$ 384.176,70;R$ 0,00;R$ 384.176,70;
 004/2025;Prefeitura Municipal de Macaé;Instrumento Original;Termo de Parceria;15.081.991/0001-51;Aprovado Instituição de Ensino LTDA;SECRETARIA MUNICIPAL DE GESTÃO DE PESSOAS;Chamamento Público; 001/2025; 12783/2025;Concessão de descontos em serviços prestados, beneficiando os servidores da Prefeitura Municipal de Macaé e seus respectivos dependentes. Instituições de Ensino: 25% de desconto na anuidade escolar.;2025-05-20;05 (cinco) anos contado da data da sua assinatura;R$ 0,00;R$ 0,00;R$ 0,00;
 003/2025;Prefeitura Municipal de Macaé;Instrumento Original;Convênio;30.124.754/0001-14;Companhia de Desenvolvimento Industrial do Estado do Rio de Janeiro.;SECRETARIA MUNICIPAL ADJUNTA DE RECURSOS HUMANOS;Não se Aplica;; 21.595/2024;Constitui objeto deste convênio o disciplinamento das rotinas administrativas relacionadas à cessão de servidores efetivos, e como ocorrerá o ressarcimento dos valores referentes ao pagamento da remuneração, incluindo, neste quantum, os encargos estatutários e previdenciários previstos legalmente relativos ao servidor cedido.;2025-02-11;31 de dezembro de 2028;R$ 0,00;R$ 0,00;R$ 0,00;
 003/2025;Prefeitura Municipal de Macaé;Instrumento Original;Termo de Fomento;06.946.177/0001-75|06.946.217/0001-75;Associação de Pais e Amigos dos Excepcionais - APAE Macaé-RJ.|Associação de Pais e Amigos dos Excepcionais - APAE Macaé-RJ.;SECRETARIA MUNICIPAL DE DESENVOLVIMENTO SOCIAL, DIREITOS HUMANOS, ACESSIBILIDADE E ECONOMIA SOLIDÁRIA;Inexigibilidade; 003/2025; 43.094/2024;Atender de forma interdisciplinar as múltiplas demandas de pessoas com deficiência intelectual e múltipla e seus familiares, trabalhando numa perspectiva de inclusão social e participação na vida comunitária, proporcionando condições para que o assistido possa usufruir dos seus direitos e exercer sua cidadania, disponibilizando condições para pleno desenvolvimento das potencialidades individuais, tendo com o objetivo fortalecer protetiva da família, contribuindo com a melhoria de sua qualidade de vida, prevenir ruptura dos vínculos familiares e comunitários, possibilitando a superação de situações de fragilidade social vivenciadas, promover aquisições sociais e materiais as famílias, potencializando o protagonismo e a autonomia das famílias e comunidades  e apoiar famílias que possuem dentre seus membros, indivíduos que necessitem de cuidados, por meio da promoção de espaços coletivos de escuta e troca de vivências familiares.;2025-04-10;12 (doze) meses;R$ 2.968.500,00;R$ 0,00;R$ 2.968.500,00;
 003/2025;Prefeitura Municipal de Macaé;Instrumento Original;Termo de Parceria;32.278.902/0001-80;Espaço AME LTDA;SECRETARIA MUNICIPAL DE GESTÃO DE PESSOAS;Chamamento Público; 001/2025; 13.828/2025;Concessão de 20 a 30% de desconto em diversos serviços prestados, beneficiando os servidores da Prefeitura Municipal de Macaé e seus respectivos dependentes.;2025-05-14;05 (cinco) anos contado da data da sua assinatura;R$ 0,00;R$ 0,00;R$ 0,00;
 002/2025;Prefeitura Municipal de Macaé;Instrumento Original;Convênio;29.115.458/0001-78;Município de Casimiro de Abreu;SECRETARIA MUNICIPAL ADJUNTA DE RECURSOS HUMANOS;Não se Aplica;; 1.811/2025;Constitui objeto deste convênio o disciplinamento das rotinas administrativas relacionadas à cessão recíproca de servidores efetivos, e como ocorrerá o ressarcimento dos valores referentes ao pagamento da remuneração, incluindo, neste quantum, os encargos estatutários e previdenciários previstos legalmente relativos ao servidor cedido.;2025-02-06;31 de dezembro de 2028;R$ 0,00;R$ 0,00;R$ 0,00;
 002/2025;Prefeitura Municipal de Macaé;Instrumento Original;Termo de Fomento;29.115.946/0001-85;Associação Pestalozzi de Macaé;SECRETARIA MUNICIPAL DE DESENVOLVIMENTO SOCIAL, DIREITOS HUMANOS, ACESSIBILIDADE E ECONOMIA SOLIDÁRIA;Inexigibilidade; 002/2025; 44.373/2024;O estudo, o tratamento, a educação e o ajustamento de crianças adolescentes, que por seu desenvolvimento mental, aptidões ou caráter excepcionais, necessitam assistência individual em ambiente médico-pedagógico especialmente orientado, não fazendo distinção ou restrições relativas a raça, cor, condição social ou posições políticas ou religiosas tendo a ação caráter filantrópico e baseada no estudo, mais objetivo possível, das necessidades e possibilidades individuais, orientadas para o bem estar coletivo e melhoria do padrão sócio econômico.;2025-04-10;12 (doze) meses;R$ 791.099,94;R$ 0,00;R$ 791.099,94;
 002/2025;Prefeitura Municipal de Macaé;Instrumento Original;Termo de Parceria;45.004.588/0001-90;V2Y treinamentos LTDA;SECRETARIA MUNICIPAL DE GESTÃO DE PESSOAS;Chamamento Público; 001/2025; 13.152/2025;Concessão de descontos em serviços prestados, beneficiando os servidores da Prefeitura Municipal de Macaé e seus respectivos dependentes. Instituições de Ensino: 20% de desconto em cursos de treinamento.;2025-05-12;05 (cinco) anos contado da data da sua assinatura;R$ 0,00;R$ 0,00;R$ 0,00;
 001/2025;Prefeitura Municipal de Macaé;Instrumento Original;Convênio;33.663.683/0001-16|72.060.999/0001-75;Universidade Federal do Rio de Janeiro ? UFRJ|Fundação Coordenação de Projetos, Pesquisas e Estudos Tecnológicos - COPPETEC;SECRETARIA MUNICIPAL ADJUNTA DE DEFESA CIVIL;Não se Aplica;; 15.897/2024;Cooperação técnica e científica para Desenvolvimento de modelo de gestão e análise de dados gerados por Estações Meteorológicas instaladas em escolas da rede Municipal de Macaé com foco na proteção e defesa civil.;2025-01-09;12 meses, a contar da data de sua assinatura;R$ 387.596,00;R$ 0,00;R$ 387.596,00;
 001/2025;Prefeitura Municipal de Macaé;Instrumento Original;Termo de Fomento;03.637.014/0001-09;Confederação Brasileira de Karate;SECRETARIA MUNICIPAL DE ESPORTES;Inexigibilidade; 001/2025; 4461/2025;Realização da Primeira Etapa do Campeonato Brasileiro e Interclubes de Karate e Seletiva Nacional 1 2025, a ser realizada no Município de Macaé/RJ no período de 25 a 30 de março de 2025.;2025-03-25;03 (três) meses, a contar da data de sua assinatura.;R$ 482.000,00;R$ 0,00;R$ 482.000,00;
 001/2025;Prefeitura Municipal de Macaé;Instrumento Original;Termo de Parceria;19.622.734/0001-30;Medcot Diagnósticos por Imagem Ltda;SECRETARIA MUNICIPAL DE GESTÃO DE PESSOAS;Chamamento Público; 001/2025; 7.280/2025;Termo Parceria a concessão de desconto em exames e procedimentos beneficiando os servidores da Prefeitura Municipal de Macaé e seus respectivos dependentes. Exames: Ressonância Magnética, Tomografia Computadorizada, Mamografia e Densitometria Óssea   20% de desconto nos exames.;2025-03-31;05 (cinco) anos contado da data da sua assinatura;R$ 0,00;R$ 0,00;R$ 0,00;
 001/2025;Prefeitura Municipal de Macaé;Instrumento Original;Contrato de Rateio;32.233.059/0001-16;Consórcio Público Intermunicipal de Desenvolvimento Norte e Noroeste Fluminense ? CIDENNF.;SECRETARIA EXECUTIVA DE RELAÇÕES INSTITUCIONAIS;Não se Aplica;; 3.369/2025;Rateio dos recursos financeiros necessários à realização das despesas correntes e de capital do CIDENNF.;2025-08-08;31/12/2025;R$ 415.931,16;R$ 0,00;R$ 415.931,16;
 SEI-350002/004715/2025;Prefeitura Municipal de Macaé;Instrumento Original;Convênio;32.690.668/0001-02;Secretaria de Estado de Polícia Militar;SECRETARIA MUNICIPAL DE ORDEM PÚBLICA;Não se Aplica;; 7281/2025;Soma de esforços, através do emprego do Programa Estadual de Integração na Segurança (PROEIS), em consonância com a Política Nacional de Segurança Pública e Defesa Social, prevista na Lei nº 13.675/18.;2025-05-09;24 meses;R$ 9.651.160,56;R$ 0,00;R$ 9.651.160,56;
 002/2024SEMINF;Prefeitura Municipal de Macaé;Instrumento Original;Termo de Cooperação;33.050.071/0001-58|33.050.071/0001-58;AMPLA ENERGIA E SERVIÇOS S/A|AMPLA ENERGIA E SERVIÇOS S/A;SECRETARIA MUNICIPAL DE INFRAESTRUTURA;Chamamento Público;; 75179/2024;: Implantação do Projeto de Eficiência Energética no Município de Macaé/RJ, visando reduzir o desperdício de energia elétrica, através da redução do consumo e da demanda retirada da ponta, nos seguintes endereços: Avenida Agenor Caldas  Avenida Hildebrando Alves Barbosa  Rua Tancredo Neves e Avenida Rui Barbosa.;2024-09-12;24 MESES;R$ 0,00;R$ 0,00;R$ 0,00;
 004/2024-SEPOL;Prefeitura Municipal de Macaé;Instrumento Original;Convênio;32.855.236/0001-04;Secretaria de Estado de Polícia Civil;SECRETARIA MUNICIPAL DE ORDEM PÚBLICA;Não se Aplica;; 11.903/2023;O presente Convênio tem por objeto o estabelecimento de condições de cooperação mútua entre os convenentes, visando o atendimento à necessidade temporária de recursos humanos para reforçar a prestação dos serviços de Polícia Judiciária no Município de Macaé.;2024-08-28;12 (doze) meses, a contar da data da assinatura;R$ 1.303.936,32;R$ 0,00;R$ 1.303.936,32;
 002/2024-SEMED;Prefeitura Municipal de Macaé;Instrumento Original;Termo de Parceria;07.560.676/0001-89;BALUARTE AGÊNCIA DE PROJETO CULTURAIS LTDA;SECRETARIA MUNICIPAL ADJUNTA DE EDUCAÇÃO BÁSICA;Não se Aplica;; 600299/2024;2.1.	O presente termo de parceria para prestação de serviços tem como finalidade oferecer, pelo prazo de 15 dias, o Projeto Brasil de Tuhu ? Educação Musical ? 16ª edição - PRONAC 233438 em parceria com a SECRETARIA MUNICIPAL DE EDUCAÇÃO, visando a realização de Consertos Didáticos, que consiste em uma apresentação presencial de até 45 min que mistura música e teatro. O quarteto Brasil de Tuhu (02 violinos,01 viola e 01 violoncelo) e a atriz Verônica Bonfim contam a história de Heitor Villa Lobos de maneira lúdica e divertida. A proposta consiste na realização de 12 apresentações para as 06 escolas citadas acima, realizando 02 concertos por escola (turno da manhã e turno da tarde).;2024-05-17;15 dias;R$ 0,00;R$ 120.000,00;R$ 120.000,00;
